employee_id,manager_id,grade,hire_date,exit_date,tenure_days,event_observed
E00126,M0099,3,2022-12-08,2025-06-24,929,1
E00127,M0172,3,2023-12-12,2024-04-15,125,1
E00128,M0049,3,2021-12-01,,1735,0
E00129,M0064,1,2026-02-25,2026-08-20,176,1
E00130,M0042,5,2023-08-03,2025-11-28,848,1
E00131,M0122,2,2022-01-30,2024-05-24,845,1
E00132,M0176,3,2022-01-12,2022-01-16,4,1
E00133,M0071,2,2023-07-24,,1135,0
E00134,M0046,2,2023-04-17,,1233,0
E00135,M0071,1,2026-01-11,,233,0
E00136,M0086,1,2025-10-01,,335,0
E00137,M0015,1,2024-01-01,,974,0
E00138,M0066,4,2024-09-04,,727,0
E00139,M0020,3,2023-01-16,2025-10-27,1015,1
E00140,M0077,2,2025-07-15,,413,0
E00141,M0147,1,2024-09-03,,728,0
E00142,M0170,1,2022-12-30,2023-02-08,40,1
E00143,M0079,1,2024-09-23,,708,0
E00144,M0099,3,2022-09-09,,1453,0
E00145,M0099,2,2021-11-06,,1760,0
E00146,M0159,1,2024-07-26,,767,0
E00147,M0060,2,2022-10-15,2023-12-26,437,1
E00148,M0045,3,2022-11-15,,1386,0
E00149,M0110,1,2026-07-10,,53,0
E00150,M0029,3,2024-08-06,2026-06-21,684,1
E00151,M0111,1,2025-11-27,,278,0
E00152,M0011,2,2023-03-20,2023-05-17,58,1
E00153,M0143,1,2026-05-07,2026-07-21,75,1
E00154,M0090,1,2024-11-08,,662,0
E00155,M0157,1,2023-09-28,2024-10-12,380,1
E00156,M0142,4,2024-08-05,,757,0
E00157,M0023,3,2025-02-27,,551,0
E00158,M0052,1,2026-09-01,,0,0
E00159,M0027,5,2025-04-19,,500,0
E00160,M0041,3,2023-12-21,2024-07-20,212,1
E00161,M0040,3,2023-03-27,2023-07-18,113,1
E00162,M0056,2,2026-04-26,,128,0
E00163,M0047,3,2025-01-24,,585,0
E00164,M0107,2,2024-05-24,2025-01-08,229,1
E00165,M0118,3,2025-01-13,,596,0
E00166,M0015,2,2021-11-03,2023-12-17,774,1
E00167,M0071,4,2026-04-06,,148,0
E00168,M0114,1,2025-06-27,,431,0
E00169,M0067,2,2023-02-19,2026-08-30,1288,1
E00170,M0046,3,2022-02-07,2022-05-02,84,1
E00171,M0018,2,2022-02-12,2023-10-18,613,1
E00172,M0057,2,2023-01-22,,1318,0
E00173,M0136,2,2022-03-31,2022-04-04,4,1
E00174,M0020,2,2022-04-04,2023-09-26,540,1
E00175,M0146,2,2026-02-11,,202,0
E00176,M0171,1,2023-01-27,,1313,0
E00177,M0141,1,2022-07-27,2022-08-12,16,1
E00178,M0098,1,2023-11-14,,1022,0
E00179,M0020,2,2026-05-20,,104,0
E00180,M0108,2,2021-10-03,2026-01-01,1551,1
E00181,M0094,5,2026-02-24,,189,0
E00182,M0167,1,2024-05-12,2024-11-03,175,1
E00183,M0020,3,2022-04-19,,1596,0
E00184,M0087,2,2023-03-02,2023-05-29,88,1
E00185,M0149,1,2023-05-24,2023-11-27,187,1
E00186,M0065,5,2024-08-22,,740,0
E00187,M0027,4,2022-11-01,,1400,0
E00188,M0026,5,2023-10-24,,1043,0
E00189,M0103,4,2025-12-15,,260,0
E00190,M0090,3,2026-08-28,,4,0
E00191,M0096,4,2022-05-21,,1564,0
E00192,M0068,5,2024-06-11,,812,0
E00193,M0147,2,2025-09-11,,355,0
E00194,M0160,3,2026-08-21,,11,0
E00195,M0102,4,2023-05-22,2024-12-10,568,1
E00196,M0136,2,2023-11-24,,1012,0
E00197,M0032,2,2023-01-12,2023-03-22,69,1
E00198,M0082,2,2026-01-06,,238,0
E00199,M0050,3,2023-10-21,2025-05-05,562,1
E00200,M0048,1,2022-06-26,2022-11-25,152,1
E00201,M0165,2,2022-01-21,,1684,0
E00202,M0144,5,2024-03-09,2025-02-20,348,1
E00203,M0077,3,2022-06-08,2022-06-21,13,1
E00204,M0029,3,2024-09-17,,714,0
E00205,M0141,5,2023-02-23,,1286,0
E00206,M0113,2,2023-05-13,,1207,0
E00207,M0024,4,2024-06-07,2026-07-29,782,1
E00208,M0082,1,2026-01-05,,239,0
E00209,M0001,1,2022-03-20,,1626,0
E00210,M0068,1,2022-05-14,,1571,0
E00211,M0178,3,2022-12-15,,1356,0
E00212,M0087,4,2025-08-30,,367,0
E00213,M0172,3,2025-02-22,,556,0
E00214,M0011,2,2026-05-23,,101,0
E00215,M0041,1,2024-10-16,2026-03-25,525,1
E00216,M0127,3,2023-10-29,,1038,0
E00217,M0081,3,2022-05-02,2023-10-03,519,1
E00218,M0071,4,2023-03-21,2024-06-11,448,1
E00219,M0097,4,2025-05-10,,479,0
E00220,M0107,2,2022-10-22,2024-12-29,799,1
E00221,M0176,4,2022-12-27,,1344,0
E00222,M0170,2,2024-01-06,2024-02-14,39,1
E00223,M0151,2,2025-10-31,2026-01-29,90,1
E00224,M0009,4,2024-06-04,2025-02-14,255,1
E00225,M0121,4,2024-11-22,2026-07-09,594,1
E00226,M0177,2,2026-03-06,,179,0
E00227,M0147,2,2021-10-25,,1772,0
E00228,M0129,1,2024-11-09,2026-05-29,566,1
E00229,M0117,3,2023-09-16,2024-02-13,150,1
E00230,M0073,2,2026-01-06,,238,0
E00231,M0032,1,2026-03-06,,179,0
E00232,M0075,2,2024-06-20,,803,0
E00233,M0016,3,2022-09-03,,1459,0
E00234,M0176,2,2023-08-11,,1117,0
E00235,M0063,2,2024-12-09,,631,0
E00236,M0135,1,2025-08-07,,390,0
E00237,M0033,1,2025-07-09,2026-06-01,327,1
E00238,M0073,2,2023-06-29,2024-04-10,286,1
E00239,M0097,4,2024-03-08,,907,0
E00240,M0019,1,2024-10-03,2026-06-14,619,1
E00241,M0161,1,2024-09-30,,701,0
E00242,M0084,3,2023-04-24,,1226,0
E00243,M0133,3,2026-05-20,,104,0
E00244,M0097,3,2023-02-08,2023-02-14,6,1
E00245,M0130,2,2024-04-23,,861,0
E00246,M0110,3,2023-09-30,,1067,0
E00247,M0139,2,2026-07-12,,51,0
E00248,M0071,1,2024-07-09,,784,0
E00249,M0122,1,2026-01-16,2026-02-16,31,1
E00250,M0164,1,2026-07-20,2026-07-30,10,1
E00251,M0080,1,2023-09-05,,1092,0
E00252,M0099,3,2022-08-13,,1480,0
E00253,M0176,4,2023-11-30,,1006,0
E00254,M0018,3,2026-04-01,,153,0
E00255,M0051,4,2022-11-06,2023-07-06,242,1
E00256,M0173,2,2022-10-25,,1407,0
E00257,M0068,2,2023-01-02,,1338,0
E00258,M0122,2,2023-11-13,2024-03-22,130,1
E00259,M0101,5,2025-05-01,,488,0
E00260,M0144,2,2024-11-18,,652,0
E00261,M0053,1,2024-01-02,,973,0
E00262,M0028,2,2022-05-30,2024-08-11,804,1
E00263,M0126,2,2023-06-07,,1182,0
E00264,M0022,1,2023-11-07,2025-04-26,536,1
E00265,M0055,3,2022-05-17,2025-05-07,1086,1
E00266,M0116,1,2023-01-04,2024-06-02,515,1
E00267,M0087,1,2025-08-10,,387,0
E00268,M0173,2,2026-06-17,,76,0
E00269,M0051,2,2026-08-06,,26,0
E00270,M0133,1,2023-02-07,2023-03-07,28,1
E00271,M0138,1,2022-05-13,,1572,0
E00272,M0121,5,2024-11-01,,669,0
E00273,M0039,2,2026-04-18,,136,0
E00274,M0068,2,2022-06-03,,1551,0
E00275,M0020,1,2026-09-01,,0,0
E00276,M0011,1,2023-08-21,2023-09-03,13,1
E00277,M0099,1,2022-11-02,,1399,0
E00278,M0137,1,2023-07-05,2026-08-24,1146,1
E00279,M0153,3,2024-05-14,2024-07-14,61,1
E00280,M0080,1,2022-02-03,,1671,0
E00281,M0172,2,2024-03-08,2025-12-06,638,1
E00282,M0093,1,2025-02-15,2025-03-23,36,1
E00283,M0179,2,2026-02-16,2026-04-19,62,1
E00284,M0018,4,2025-10-20,,316,0
E00285,M0128,2,2026-01-05,,239,0
E00286,M0085,2,2024-03-09,2024-07-05,118,1
E00287,M0101,2,2024-07-31,2026-05-19,657,1
E00288,M0112,2,2021-09-28,2021-10-17,19,1
E00289,M0009,4,2023-02-05,,1304,0
E00290,M0021,3,2021-10-02,2021-11-29,58,1
E00291,M0107,3,2024-04-30,,854,0
E00292,M0000,2,2026-08-12,,20,0
E00293,M0006,2,2023-07-06,2023-08-31,56,1
E00294,M0170,1,2022-03-16,,1630,0
E00295,M0144,2,2025-09-22,2025-10-27,35,1
E00296,M0007,4,2025-10-28,,308,0
E00297,M0128,1,2023-11-16,2026-05-20,916,1
E00298,M0000,1,2024-08-05,2025-08-26,386,1
E00299,M0149,4,2024-11-28,,642,0
E00300,M0128,3,2026-05-21,,103,0
E00301,M0038,1,2025-11-04,,301,0
E00302,M0071,2,2025-04-14,,505,0
E00303,M0147,4,2022-09-07,2024-05-26,627,1
E00304,M0046,3,2023-10-28,,1039,0
E00305,M0114,1,2022-11-02,,1399,0
E00306,M0095,1,2022-09-03,2022-10-23,50,1
E00307,M0011,3,2024-08-23,2024-11-07,76,1
E00308,M0148,1,2022-03-19,2023-07-25,493,1
E00309,M0001,1,2026-03-16,,169,0
E00310,M0069,4,2021-11-05,,1761,0
E00311,M0093,1,2024-10-23,2025-01-25,94,1
E00312,M0079,1,2024-07-22,,771,0
E00313,M0042,3,2022-05-28,2022-06-04,7,1
E00314,M0159,1,2024-02-14,2024-06-04,111,1
E00315,M0170,3,2023-05-04,2025-04-01,698,1
E00316,M0049,3,2021-11-04,2024-12-24,1146,1
E00317,M0111,1,2025-01-01,,608,0
E00318,M0016,3,2021-12-24,,1712,0
E00319,M0109,1,2024-01-11,,964,0
E00320,M0156,2,2021-12-05,,1731,0
E00321,M0127,3,2021-12-06,2021-12-24,18,1
E00322,M0133,5,2021-12-31,2022-06-24,175,1
E00323,M0003,2,2026-04-12,,142,0
E00324,M0045,3,2024-08-16,2024-09-07,22,1
E00325,M0046,1,2025-02-13,,565,0
E00326,M0178,3,2024-10-23,,678,0
E00327,M0085,2,2023-01-08,2023-01-28,20,1
E00328,M0094,1,2024-09-06,,725,0
E00329,M0066,3,2022-02-20,,1654,0
E00330,M0035,1,2022-04-18,2023-06-06,414,1
E00331,M0006,4,2022-06-01,2023-02-28,272,1
E00332,M0100,2,2022-04-28,2023-02-05,283,1
E00333,M0141,2,2025-02-22,,556,0
E00334,M0168,3,2022-12-21,,1350,0
E00335,M0156,4,2022-07-18,2022-10-17,91,1
E00336,M0049,2,2024-09-04,,727,0
E00337,M0103,2,2026-01-10,2026-03-02,51,1
E00338,M0119,2,2024-12-17,2026-06-19,549,1
E00339,M0001,5,2023-07-29,,1130,0
E00340,M0054,3,2025-11-22,2026-03-11,109,1
E00341,M0019,1,2023-11-22,2025-04-10,505,1
E00342,M0158,1,2023-07-18,2023-09-17,61,1
E00343,M0003,2,2026-07-16,,47,0
E00344,M0168,3,2022-09-23,2026-03-07,1261,1
E00345,M0178,2,2023-11-13,,1023,0
E00346,M0102,4,2025-06-30,,428,0
E00347,M0009,1,2024-04-15,2024-05-23,38,1
E00348,M0147,1,2021-10-29,,1768,0
E00349,M0076,1,2025-11-04,2026-04-18,165,1
E00350,M0056,3,2021-11-13,2024-01-22,800,1
E00351,M0161,4,2026-02-04,,209,0
E00352,M0024,2,2025-11-28,,277,0
E00353,M0111,1,2024-12-11,,629,0
E00354,M0091,1,2024-12-01,2026-01-22,417,1
E00355,M0122,4,2024-12-21,2025-02-28,69,1
E00356,M0149,3,2025-06-12,,446,0
E00357,M0177,2,2025-09-01,,365,0
E00358,M0142,2,2026-01-03,,241,0
E00359,M0157,1,2025-04-06,2025-11-13,221,1
E00360,M0162,2,2026-02-16,,197,0
E00361,M0075,5,2026-04-20,,134,0
E00362,M0106,5,2026-04-03,,151,0
E00363,M0070,2,2025-05-22,,467,0
E00364,M0178,4,2024-09-08,2025-05-30,264,1
E00365,M0056,1,2025-06-14,2026-05-03,323,1
E00366,M0008,2,2025-02-02,,576,0
E00367,M0166,4,2024-01-29,2025-10-25,635,1
E00368,M0094,1,2022-03-27,,1619,0
E00369,M0077,1,2023-10-10,,1057,0
E00370,M0158,4,2023-06-23,,1166,0
E00371,M0085,2,2025-11-08,,297,0
E00372,M0105,2,2025-08-01,,396,0
E00373,M0163,3,2022-05-12,2023-05-30,383,1
E00374,M0068,1,2023-02-28,,1281,0
E00375,M0144,4,2025-08-20,2026-02-05,169,1
E00376,M0077,4,2022-01-15,,1690,0
E00377,M0176,2,2025-06-07,2025-12-14,190,1
E00378,M0002,1,2025-06-02,2025-06-14,12,1
E00379,M0140,2,2025-03-25,,525,0
E00380,M0157,3,2025-11-11,,294,0
E00381,M0036,1,2024-11-03,2025-10-11,342,1
E00382,M0004,3,2025-07-05,2025-07-22,17,1
E00383,M0145,1,2022-08-08,,1485,0
E00384,M0091,2,2021-09-28,,1799,0
E00385,M0099,2,2022-07-24,,1500,0
E00386,M0131,5,2025-05-25,,464,0
E00387,M0110,5,2022-05-17,2023-05-17,365,1
E00388,M0028,1,2023-01-30,2023-05-25,115,1
E00389,M0009,4,2023-09-14,,1083,0
E00390,M0088,3,2023-11-14,2025-08-20,645,1
E00391,M0021,2,2023-04-12,2026-08-06,1212,1
E00392,M0176,3,2025-12-23,,252,0
E00393,M0068,1,2021-11-28,2021-11-30,2,1
E00394,M0094,1,2024-06-13,,810,0
E00395,M0128,1,2021-11-14,2022-03-05,111,1
E00396,M0020,1,2022-11-12,,1389,0
E00397,M0114,1,2022-08-08,,1485,0
E00398,M0132,1,2022-08-23,2024-12-28,858,1
E00399,M0030,3,2024-03-28,2024-03-30,2,1
E00400,M0021,3,2022-04-25,2025-10-16,1270,1
E00401,M0014,1,2025-07-07,,421,0
E00402,M0107,1,2026-07-22,,41,0
E00403,M0162,1,2024-01-26,,949,0
E00404,M0007,2,2023-12-07,,999,0
E00405,M0101,4,2022-11-07,,1394,0
E00406,M0106,2,2026-08-22,,10,0
E00407,M0043,4,2025-09-02,2026-02-25,176,1
E00408,M0131,5,2023-08-19,2024-08-17,364,1
E00409,M0076,1,2025-02-09,,569,0
E00410,M0066,1,2026-06-16,2026-08-23,68,1
E00411,M0055,2,2023-10-23,,1044,0
E00412,M0033,2,2025-06-16,,442,0
E00413,M0127,4,2024-06-23,,800,0
E00414,M0042,1,2024-06-05,,818,0
E00415,M0099,2,2023-06-25,,1164,0
E00416,M0130,3,2025-10-11,,325,0
E00417,M0102,3,2024-12-12,,628,0
E00418,M0017,3,2025-05-19,,470,0
E00419,M0090,2,2023-10-05,2024-04-30,208,1
E00420,M0116,2,2022-04-02,,1613,0
E00421,M0110,1,2024-01-09,,966,0
E00422,M0145,2,2025-07-28,,400,0
E00423,M0173,2,2026-05-25,,99,0
E00424,M0143,4,2025-02-28,2025-06-28,120,1
E00425,M0163,2,2021-11-17,2023-06-13,573,1
E00426,M0123,1,2026-07-09,,54,0
E00427,M0156,2,2024-02-12,2025-07-05,509,1
E00428,M0053,5,2021-09-28,2024-06-28,1004,1
E00429,M0066,5,2024-09-26,2026-08-27,700,1
E00430,M0024,2,2022-05-27,2022-09-24,120,1
E00431,M0175,1,2022-07-23,,1501,0
E00432,M0003,3,2024-09-05,,726,0
E00433,M0014,1,2026-06-28,,65,0
E00434,M0043,2,2026-06-09,,84,0
E00435,M0077,2,2025-10-29,,307,0
E00436,M0088,2,2025-08-13,,384,0
E00437,M0125,1,2024-03-17,,898,0
E00438,M0120,1,2023-05-29,2023-07-10,42,1
E00439,M0108,2,2022-02-27,2022-03-01,2,1
E00440,M0179,3,2025-02-08,,570,0
E00441,M0090,2,2026-07-15,,48,0
E00442,M0125,2,2022-05-21,,1564,0
E00443,M0099,3,2022-11-06,,1395,0
E00444,M0163,2,2025-09-16,,350,0
E00445,M0166,3,2025-06-04,2025-08-06,63,1
E00446,M0046,1,2022-07-08,,1516,0
E00447,M0095,2,2024-10-16,2024-10-26,10,1
E00448,M0080,3,2023-10-02,,1065,0
E00449,M0106,1,2025-10-09,,327,0
E00450,M0143,1,2024-01-30,,945,0
E00451,M0069,2,2023-01-02,2024-12-11,709,1
E00452,M0042,3,2025-09-26,,340,0
E00453,M0125,1,2026-03-15,,170,0
E00454,M0173,2,2024-04-14,,870,0
E00455,M0135,2,2022-04-04,,1611,0
E00456,M0070,2,2023-08-07,,1121,0
E00457,M0030,2,2024-03-24,,891,0
E00458,M0145,2,2022-08-17,2025-03-05,931,1
E00459,M0057,1,2022-04-08,,1607,0
E00460,M0017,1,2025-01-23,2025-04-06,73,1
E00461,M0161,2,2026-02-02,,211,0
E00462,M0042,2,2022-05-09,2023-08-11,459,1
E00463,M0114,2,2024-03-16,,899,0
E00464,M0122,1,2022-05-03,2022-05-06,3,1
E00465,M0071,3,2024-04-26,,858,0
E00466,M0150,3,2023-02-26,2024-05-31,460,1
E00467,M0125,1,2025-01-11,2025-09-09,241,1
E00468,M0172,3,2026-08-05,,27,0
E00469,M0145,2,2024-07-09,2026-05-23,683,1
E00470,M0105,4,2023-01-13,2023-03-20,66,1
E00471,M0061,5,2026-08-12,,20,0
E00472,M0160,4,2023-02-22,,1287,0
E00473,M0179,5,2025-11-23,,282,0
E00474,M0029,3,2023-01-06,2023-05-04,118,1
E00475,M0065,1,2024-03-10,2024-08-13,156,1
E00476,M0173,3,2022-08-11,,1482,0
E00477,M0173,2,2024-05-19,,835,0
E00478,M0073,2,2022-05-09,2023-10-01,510,1
E00479,M0046,1,2025-11-27,,278,0
E00480,M0162,1,2025-05-05,,484,0
E00481,M0097,3,2026-05-19,,105,0
E00482,M0068,1,2022-06-15,,1539,0
E00483,M0074,1,2023-11-10,,1026,0
E00484,M0024,3,2023-06-05,2025-04-09,674,1
E00485,M0105,2,2023-11-20,2023-11-26,6,1
E00486,M0024,1,2025-08-12,2026-02-18,190,1
E00487,M0021,2,2023-04-04,2023-04-18,14,1
E00488,M0018,2,2026-06-21,,72,0
E00489,M0161,3,2023-05-07,,1213,0
E00490,M0015,1,2023-01-07,,1333,0
E00491,M0075,2,2023-11-27,2023-12-07,10,1
E00492,M0063,1,2025-04-30,,489,0
E00493,M0091,2,2026-08-20,,12,0
E00494,M0102,3,2025-09-26,,340,0
E00495,M0070,2,2024-10-20,,681,0
E00496,M0103,2,2021-10-03,,1794,0
E00497,M0041,2,2026-05-17,,107,0
E00498,M0134,3,2026-08-15,,17,0
E00499,M0039,1,2026-06-04,,89,0
E00500,M0021,4,2023-08-14,2024-09-09,392,1
E00501,M0129,2,2022-12-23,,1348,0
E00502,M0049,1,2023-09-19,,1078,0
E00503,M0036,2,2026-06-01,,92,0
E00504,M0081,1,2024-06-05,2025-02-13,253,1
E00505,M0023,3,2021-12-01,,1735,0
E00506,M0095,1,2021-11-20,2022-10-09,323,1
E00507,M0009,1,2026-06-30,,63,0
E00508,M0143,4,2023-08-09,,1119,0
E00509,M0143,2,2023-04-26,2026-01-17,997,1
E00510,M0089,2,2023-02-09,,1300,0
E00511,M0033,1,2025-07-05,,423,0
E00512,M0114,1,2026-06-06,,87,0
E00513,M0014,2,2022-06-11,2023-12-13,550,1
E00514,M0023,1,2025-02-22,,556,0
E00515,M0046,3,2024-12-19,,621,0
E00516,M0045,1,2025-11-13,,292,0
E00517,M0039,1,2022-09-09,2022-10-15,36,1
E00518,M0113,2,2023-03-26,,1255,0
E00519,M0051,1,2021-12-11,,1725,0
E00520,M0138,2,2024-11-28,2025-01-03,36,1
E00521,M0084,1,2023-12-20,2026-04-06,838,1
E00522,M0092,3,2025-05-07,,482,0
E00523,M0045,3,2025-01-22,,587,0
E00524,M0028,2,2024-09-27,,704,0
E00525,M0143,2,2024-10-05,2025-01-12,99,1
E00526,M0145,1,2024-04-14,,870,0
E00527,M0016,2,2025-06-12,,446,0
E00528,M0107,1,2025-02-14,2026-06-23,494,1
E00529,M0058,2,2023-07-10,2026-03-22,986,1
E00530,M0061,1,2025-11-17,2026-01-18,62,1
E00531,M0110,2,2025-07-10,2025-12-01,144,1
E00532,M0049,2,2024-12-01,,639,0
E00533,M0073,1,2021-09-22,2024-03-06,896,1
E00534,M0039,2,2023-10-22,2023-10-31,9,1
E00535,M0046,1,2025-09-04,,362,0
E00536,M0059,1,2026-07-27,,36,0
E00537,M0068,4,2026-01-24,,220,0
E00538,M0056,4,2023-09-04,2024-03-09,187,1
E00539,M0041,2,2026-04-27,,127,0
E00540,M0039,3,2022-02-28,2022-10-16,230,1
E00541,M0039,1,2024-05-06,2024-05-29,23,1
E00542,M0147,3,2026-02-09,2026-06-15,126,1
E00543,M0122,2,2021-10-22,2022-01-30,100,1
E00544,M0068,2,2025-11-26,,279,0
E00545,M0067,2,2025-12-03,,272,0
E00546,M0144,5,2023-04-09,,1241,0
E00547,M0024,1,2026-07-06,2026-07-25,19,1
E00548,M0174,1,2023-01-24,,1316,0
E00549,M0087,3,2022-04-24,2022-06-28,65,1
E00550,M0122,1,2022-08-23,2023-05-12,262,1
E00551,M0094,3,2026-04-13,,141,0
E00552,M0145,1,2024-01-11,2025-09-27,625,1
E00553,M0164,3,2025-08-07,2025-10-16,70,1
E00554,M0110,2,2025-01-26,2025-04-24,88,1
E00555,M0021,1,2026-05-21,2026-07-14,54,1
E00556,M0087,1,2026-05-12,,112,0
E00557,M0011,1,2026-04-17,,137,0
E00558,M0071,3,2022-01-03,,1702,0
E00559,M0019,2,2023-05-10,2025-11-14,919,1
E00560,M0113,2,2025-12-09,,266,0
E00561,M0019,1,2021-10-25,2022-01-21,88,1
E00562,M0076,2,2024-01-26,2025-04-10,440,1
E00563,M0089,3,2023-06-06,2026-07-17,1137,1
